Ship type,Reporting Period,Technical efficiency,tech_eff_name,tech_eff,Port of Registry,Home Port,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],Annual Total time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],C02 emissions per hour,C02 emissions per fuel consumption,EEOI_Index
Bulk carrier,2018,EIV (4.02 gCO₂/t·nm),EIV,4.02,Panama,Panama,811.54,2531.98,108.3,773.01,1447.54,203.11,789.0,92.81,2.33,289.57,7.25,3.209100126742712,3.119969440816226,7.25
Bulk carrier,2018,EIV (5.79 gCO₂/t·nm),EIV,5.79,Nassau,,2412.38,7575.17,2505.7,1435.58,3315.59,318.29,3025.25,79.75,3.6,250.43,11.29,2.5039814891331296,3.1401230320264633,11.29
Bulk carrier,2018,EIV (5.14 gCO₂/t·nm),EIV,5.14,Hong Kong,,1193.85,3746.18,2159.91,0.0,1498.53,87.76,1070.94,98.88,2.17,310.27,6.8,3.4980297682409844,3.1378983959458893,6.8
Bulk carrier,2018,EIV (5.41 gCO₂/t·nm),EIV,5.41,Panama,,800.13,2492.73,362.08,790.18,1306.01,34.46,656.19,106.17,2.62,330.78,8.16,3.798793032505829,3.1154062464849464,8.16
Bulk carrier,2018,EIV (5.41 gCO₂/t·nm),EIV,5.41,Panama,,1921.31,6009.79,480.18,1940.9,3082.02,506.69,1860.84,95.73,2.34,299.43,7.32,3.2296113583113004,3.1279647740343828,7.32
Bulk carrier,2018,EIV (5.81 gCO₂/t·nm),EIV,5.81,Nassau,,2632.13,8266.26,935.9,3701.83,3377.91,250.61,4206.51,81.02,3.12,254.45,9.79,1.9651112204654213,3.140521174865983,9.79
Bulk carrier,2018,EIV (5.95 gCO₂/t·nm),EIV,5.95,Nassau,,560.8,1781.2,111.73,774.83,782.27,112.37,716.58,96.06,3.75,305.11,11.91,2.4856959446258617,3.176176890156919,11.91
Bulk carrier,2018,EIV (3.89 gCO₂/t·nm),EIV,3.89,MAJURO,,3418.78,10743.3,1566.36,4307.62,4491.6,377.7,2742.8,109.66,1.94,344.6,6.1,3.9169097272859847,3.142436775691913,6.1
Bulk carrier,2018,EIV (3.89 gCO₂/t·nm),EIV,3.89,MAJURO,,1998.41,6243.85,0.0,1603.84,4547.23,92.8,1732.78,108.8,3.04,339.94,9.51,3.603371460889438,3.1244089050795383,9.51
Bulk carrier,2018,EIV (3.76 gCO₂/t·nm),EIV,3.76,Valletta,Vallette,935.99,2940.15,5.83,861.82,1972.98,99.51,964.45,119.39,2.01,375.02,6.3,3.0485250660998497,3.1412194574728365,6.3
